prompt,response
" As always, sir, a great pleasure watching you work.",  And I guess seventy-two hours isn't a long time between siesta's. Didn't think it could get any worse. Then I had to go and turn on the TV.
iron man,  That's when he happened.
" It tested well with focus groups, alright?",  I am Iron Patriot...
" Listen, War Machine was a little too aggressive, alright? This sends a better message."," So what's really goin' on? With Mandarin. Seriously, can we talk about this guy?"
" It's classified information, Tony. Okay, there have been nine bombings.", Nine.
" The public only knows about three. Here's the thing, nobody can ID a device. There's no bomb casings."," You know I can help, just ask. I got a ton of new tech, I got a prehensile, I got a...I got a new bomb disposal. Catches explosions mid-air."
 When's the last time you got a good night's sleep?, Einstein slept three hours a year. Look what he did?
" People are concerned about you, Tony. I'm concerned about you.", You're gonna come at me like that?
 Do you mind signing my drawing?," If Richard doesn't mind.  You alright with this, Dick?"
 Fine with me.,  What's your name?
 Erin.," I loved you in A Christmas Story, by the way."
" Listen, the Pentagon is scared. After what happened in New York... aliens, come on. They need to look strong. Stopping the Mandarin is priority, but it's not..."," It's not superhero business, I get it."
" No, it's not, quite frankly. It's American business.", That's why I said I...got it.
 Are you okay?, I broke the crayon.
 Wait a minute! Tony!, What'd he say?!
 Tony!, Sorry. Have to check on the suit...make sure...okay.
iron man," Check the heart, check the...check the...is it the brain?"
 No sign of cardiac analomy or unusual brain activity.," Okay, so I was poisoned?"
 My diagnosis is that you've experienced a severe anxiety attack., Me?
" Come on, man. This isn't a good look, open up."," Sorry, I gotta split."
 Hello?, Is this forehead of Security?
" What? You know, look, I got a real job. What do you want? I'm working, I got something going on here.", What? Harassing interns?
" I had to leave while I still had a shred of dignity. Now I got a real job, I'm watching Pepper.", What's going on? Fill me in.
 For real?, Yeah.
" Alright, so she's meeting up with this scientist. Rich guy, handsome.", Right.
" I couldn't make his face at first, right? You know I'm good with faces."," Oh, Yeah, yeah. You're the best."
" Yeah. Well, so I run his credentials, I make him Aldrich Killian. We actually met the guy back in... where were we in '99? The science conference?", Um...Switzerland.
" Right, right, exactly."," Killian? No, I don't remember that guy."
" Of course you don't. He's not a blond with a big rack. At first it was fine, they were talking business, but now it's like getting weird. He's showing her a big brain.", His what?
" Big brain, and she likes it. Here, let me show you. Hold on. See? ", Look at what? You watching them? Flip the screen and then we can get started.
" I'm not a tech genius like you. Just...just trust me, get down down here."," Flip the screen, then I can see what they're doing."
" Alright, I don't work for you. Now I don't trust this guy. He's got another guy with him, he's shifty.", Relax.
 Seriously?, I'm just asking you to secure the perimeter. Tell him to go out for a drink or something?
" You know what? You should take more of an interest in what's going on here. This woman... this woman's the best thing that ever happened to you, and you...you're just ignoring her.", A giant brain?
" Yeah, there's a giant brain, there's a shifty character. I'm gonna follow this guy. I'm gonna run his plates and if it gets rough, so be it."," I miss you, Happy."
" Yeah, I miss you too. But the way it used to be. Now you're off with the 'superfriends', I don't know what's going on with you anymore. The world's getting weird..."," Hey, I...I'd hate to cut you off. Do you have your taser on you?"
 Why?," I think there's a gal in HR who's trying to steal some printer ink, you should probably go over there and zap her."
" You're wearing this in the house now? What is that, like Mark 15?", Uh...yeah. Something like that. You know everybody needs a hobby.
" Oh, and you have to wear your hobby in the living room?"," Just breakin' it in. You know, it's always a little pinchy in the gooey bag at first, so."
iron man," Oh hey, did you see your Christmas present?"
" Yes, I did. I...I don't know how I could have missed that Christmas present. Is it gonna fit through the door?"," Well actually, uh...it's a good question. I got a team of guys comin' tomorrow, they're gonna blow out that wall."
 Okay.," So, uh...tense? Good day?"
iron man," Ooh shoulders, a little knotty. Naughty girl. I don't wanna harp on this, but did you like the custom rabbit?"
 Did I like it?," Nailed it, right?"
 So why don't you lift up that face mask and give me a kiss?," Huh. Yup, dammit. No can do. You wanna just kiss it on the..."
 Uh-huh., The facial slit?
" Well, why don't I run down to the garage and see if I can't find a crowbar to shimmy that thing open?", Crowbar. Yeah.
iron man," Oh, except there's been a...uh...a radiation leak."
 I'll take my chances., That's risky.
iron man, At least let me get you like a Hazmat suit or a Geiger counter or something like that.
iron man, Busted.
 This is a new level of lame., Sorry.
" You ate without me, already? On date night?",  He was just...
 You mean you?," Well, yeah. I just mean we were just...just hosting you while I finished up a little work."
 Uh-huh.," And yes, I had a quick bite. I didn't know if you were comin' home or if you were having drinks with Aldrich Killian."
 What?, What?
 Aldrich Killian? What are you checking up on me?, Happy was concerned.
" No, you're spying on me.", I wasn't...
 I'm going to bed., Hold on. Come on. Pep.
iron man," Hey, I admit it! My fault. Sorry."
iron man," I'm a piping hot mess. It's been going on for a while, I haven't said anything."
iron man, Nothing's been the same since New York.
" Oh really? Well, I didn't notice that, at all."," You experience things and then they're over and you still can't explain 'em. Gods, aliens, other dimensions. I...I'm just a man in a can. The only reason I haven't cracked up is probably because you moved in. Which is great. I love you, I'm lucky. But, honey, I can't sleep. You go to bed, I come down here. I do what I know, I tinker."
iron man," But threat is imminent, and I have to protect the one thing that I can't live without. That's you. My suits, they're uh..."
 Machines., They're part of me.
 A distraction., Maybe.
 I'm gonna take a shower., Okay.
 And you're gonna join me., Better.
 Tony! Tony! Tony! Tony..., Power down!
iron man," I must have called it in my sleep. That's not supposed to happen. I'll recalibrate the sensors. Can we just...just let me...just let me catch my breath, okay?"
iron man," Don't go, alright? Pepper?"
" True story about fortune cookies. They look Chinese, they sound Chinese, but they're actually an American invention. Which is why they're hollow, full of lies, and leave a bad taste in the mouth. My disciples just destroyed another cheap American knock-off, The Chinese Theater. Mr. President, I know this must be getting frustrating, but this season of terror is drawing to a close. And don't worry, the big one is coming; your graduation.", Hi.
 Oh.,  Uh...mind leaving that on?
 Sure. ," Sunday night's PBS 'Downtown Abbey'. That's his show, he thinks it's elegant.  One more thing...make sure everyone wears their badges. He's a stickler for that sort of thing, plus my guys won't let anyone in without them. "
" Hey, Mr. Stark! When is somebody gonna kill this guy? Just sayin'. "," Is that what you want? Here's a little Holiday greeting I've been wanting to send to the Mandarin. I just didn't know how to phrase it until now. My name is Tony and I'm not afraid of you. I know you're a coward, so I've decided  that you just died, pal. I'm gonna come get the body. There's no politics here; it's just good old-fashioned revenge. There's no Pentagon; it's just you and me. And on the off-chance you're a man, here's my home address: 10-8-80, Malibu Point, 9-0-2-6-5. I'll leave the door unlocked.  That's what you wanted, right?  Bill me. "
